,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
OSBPL3,2.84000505610932e-11,-0.477872941979897,0.624,0.596,1.03969745099106e-06,OSBPL3,down
MUC4,2.90725405094907e-11,-0.853855685967783,0.781,0.707,1.06431663551195e-06,MUC4,down
KLK12,5.07513629226068e-11,-0.338886177735338,0.052,0.103,1.85795664523371e-06,KLK12,down
LRP10,9.39542413526731e-11,-0.484447447599587,0.559,0.523,3.43957082168001e-06,LRP10,down
KIFC3,1.13356571554093e-10,-0.565263473823235,0.325,0.36,4.14987072802379e-06,KIFC3,down
TMC1,1.62524283867051e-10,-0.417736902900859,0.092,0.149,5.94985150808889e-06,TMC1,down
TP53INP1,1.64400898491116e-10,-0.259992192595208,0.207,0.269,6.01855249286127e-06,TP53INP1,down
CD36,2.21129933522686e-10,-0.448845614685295,0.125,0.187,8.09534573633201e-06,CD36,down
VPS37B,2.57871065290685e-10,-0.436711163691222,0.787,0.71,9.4404018292267e-06,VPS37B,down
TPM4,2.60053008395526e-10,-0.334332314813748,0.959,0.919,9.52028058435182e-06,TPM4,down
BTG1,2.63287674533074e-10,-0.311356690557121,0.918,0.837,9.63869847698129e-06,BTG1,down
SERPINA3,3.12885816048289e-10,-1.58125150445661,0.1,0.159,1.14544368397118e-05,SERPINA3,down
B2M,3.3349279088755e-10,-0.336412100696206,0.997,0.988,1.22088375816023e-05,B2M,down
AFDN,3.593864297119e-10,-0.510471454531793,0.714,0.652,1.3156777805323e-05,AFDN,down
PI3,3.62083534540512e-10,-1.67187519235049,0.218,0.276,1.32555161159936e-05,PI3,down
ABCA12,3.629715662401e-10,-0.319046738050457,0.191,0.252,1.32880260684838e-05,ABCA12,down
ERV3-1,3.66218301333921e-10,-0.27103849046175,0.141,0.202,1.34068857935335e-05,ERV3-1,down
CD59,4.15123265147617e-10,-0.62143952130976,0.77,0.691,1.51972476137891e-05,CD59,down
RAB27B,4.34752788220628e-10,-0.502950988058219,0.562,0.545,1.5915864823969e-05,RAB27B,down
VAMP8,5.17976083780504e-10,-0.394488838207032,0.813,0.701,1.89625864511205e-05,VAMP8,down
