,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
NUDT1,1.35546374744732e-33,0.415399320297012,0.63,0.248,4.9622172330299e-29,NUDT1,up
TIMELESS,1.3832159406893e-33,0.381574178590239,0.481,0.146,5.06381523726944e-29,TIMELESS,up
POLQ,1.50587501861173e-33,0.342596671575584,0.34,0.064,5.51285785563568e-29,POLQ,up
SMC2,1.50961170076999e-33,0.536661064656393,0.647,0.271,5.52653747534885e-29,SMC2,up
RMI2,1.69765289596296e-33,0.40551416947327,0.587,0.213,6.21493748683082e-29,RMI2,up
BMERB1,1.92589407616988e-33,-0.654856239577871,0.098,0.525,7.05050562345032e-29,BMERB1,down
SYT8,2.63870589928433e-33,0.418806672383649,0.46,0.122,9.66003842669002e-29,SYT8,up
RAP2B,4.57991595973519e-33,0.859311698994356,0.74,0.423,1.67666143369945e-28,RAP2B,up
MAD2L1,4.61758731993893e-33,0.324517599461738,0.46,0.123,1.69045254195644e-28,MAD2L1,up
GSTM1,5.33733343055589e-33,0.831624393246296,0.404,0.106,1.95394439559221e-28,GSTM1,up
TRIM7,5.81067347024609e-33,0.302259646414757,0.434,0.111,2.12722945072239e-28,TRIM7,up
KNL1,6.06810132398105e-33,0.50848558960195,0.387,0.088,2.22147121369622e-28,KNL1,up
CEP55,9.21293855317419e-33,0.335917270020442,0.37,0.074,3.37276467493154e-28,CEP55,up
UPF3B,9.55475202625502e-33,0.550285930459999,0.723,0.386,3.4978991692917e-28,UPF3B,up
PRIM1,1.08437738457565e-32,0.264660105768881,0.4,0.097,3.96979716719299e-28,PRIM1,up
PTHLH,1.22000591938788e-32,0.636336428799405,0.277,0.041,4.46631967028709e-28,PTHLH,up
MELK,2.16943412912525e-32,0.274663966906323,0.349,0.068,7.94208140331463e-28,MELK,up
TDRP,2.82258753010418e-32,-0.692936296328484,0.047,0.464,1.03332106889584e-27,TDRP,down
CENPJ,2.94199478572629e-32,0.374351136819379,0.489,0.157,1.07703487110654e-27,CENPJ,up
HLA-DPA1,3.31639652369285e-32,-0.75420586087644,0.204,0.62,1.21409960335872e-27,HLA-DPA1,down
DNAJC9,3.4989632562979e-32,0.519747615424629,0.74,0.401,1.2809354584981e-27,DNAJC9,up
FAM83D,3.55937561285622e-32,0.592400492895387,0.443,0.124,1.30305181811054e-27,FAM83D,up
USP1,4.1659482283715e-32,0.643188425582978,0.766,0.472,1.52511198692452e-27,USP1,up
UBE2T,4.58033677764024e-32,0.414514713716828,0.502,0.157,1.67681549092632e-27,UBE2T,up
THBD,5.93014962055804e-32,0.657562968063577,0.574,0.218,2.17096847459009e-27,THBD,up
KCNMA1,6.09581517857958e-32,-0.968183987687572,0.055,0.474,2.2316169787262e-27,KCNMA1,down
DAPL1,6.31156623233368e-32,0.417008426307818,0.6,0.211,2.31060128199504e-27,DAPL1,up
KRT13,7.538013131967e-32,0.537542970384329,0.545,0.173,2.7595912274818e-27,KRT13,up
HTATSF1,8.74247732083272e-32,0.59599570623237,0.796,0.546,3.20053352238365e-27,HTATSF1,up
LAGE3,1.0107123587419e-31,0.674025597453988,0.787,0.51,3.70011687411822e-27,LAGE3,up
AOPEP,1.04339248577994e-31,0.856155104111173,0.885,0.708,3.81975555119179e-27,AOPEP,up
GBP6,1.07458673135513e-31,0.491308077838343,0.4,0.092,3.933954564818e-27,GBP6,up
PIM1,1.08159094836557e-31,0.654388368407267,0.536,0.19,3.9595963028715e-27,PIM1,up
CRIP2,1.36655155827319e-31,-0.779777532753474,0.681,0.871,5.00280859968231e-27,CRIP2,down
KNTC1,1.43468402729368e-31,0.270531087580522,0.409,0.102,5.25223475551944e-27,KNTC1,up
NPAS3,1.51642273316923e-31,-1.31863970237193,0.111,0.527,5.55147198385925e-27,NPAS3,down
ARHGAP24,1.65382975555502e-31,0.818858769793715,0.681,0.344,6.05450535211137e-27,ARHGAP24,up
GPX3,1.77921585537723e-31,-0.746265050116651,0.085,0.504,6.51353132495051e-27,GPX3,down
CEL,1.88696593011049e-31,0.359553028743667,0.238,0.028,6.9079935735415e-27,CEL,up
C4orf48,1.92629953323947e-31,-0.865946109734783,0.213,0.596,7.05198996123638e-27,C4orf48,down
ANXA5,1.97983672047693e-31,-0.820908758769327,0.774,0.904,7.24798424999399e-27,ANXA5,down
ASF1B,1.98945444723478e-31,0.439773999850965,0.417,0.108,7.28319378588179e-27,ASF1B,up
MASTL,2.10997177409101e-31,0.365158244147103,0.477,0.148,7.72439566776979e-27,MASTL,up
SCGB1A1,2.48726385343286e-31,0.610459703353012,0.204,0.018,9.10562424103236e-27,SCGB1A1,up
CTSZ,2.5304037110568e-31,-0.655079564544321,0.413,0.736,9.26355494580785e-27,CTSZ,down
CENPN,3.05037959719834e-31,0.419916424026946,0.519,0.179,1.11671346673834e-26,CENPN,up
DACH1,3.42202076157089e-31,-0.81005291345919,0.047,0.466,1.25276758060349e-26,DACH1,down
HSPA4L,4.04679670161847e-31,0.462457540701756,0.583,0.229,1.48149180449551e-26,HSPA4L,up
POLE2,4.8643189222849e-31,0.265579987075308,0.34,0.07,1.78077851425928e-26,POLE2,up
KIF11,5.2570281803036e-31,0.355994597869573,0.396,0.093,1.92454544652734e-26,KIF11,up
MMS22L,7.79802401367216e-31,0.348085761767437,0.472,0.145,2.85477861116524e-26,MMS22L,up
RIMS2,8.51368430035333e-31,0.674361456137029,0.481,0.152,3.11677468551635e-26,RIMS2,up
ANKFN1,8.79749345212972e-31,-0.824005026004377,0.034,0.45,3.22067437789017e-26,ANKFN1,down
SLF1,1.15251987840088e-30,0.395196962380563,0.528,0.184,4.21926002283776e-26,SLF1,up
TNS3,1.20950367740532e-30,-0.726855776013792,0.136,0.551,4.42787201261315e-26,TNS3,down
LIPE-AS1,1.25607321262776e-30,0.517180592715352,0.609,0.259,4.59835842410898e-26,LIPE-AS1,up
NECTIN1,1.32199231693206e-30,0.616820089352095,0.715,0.374,4.83968167305656e-26,NECTIN1,up
GPSM2,1.94579673399059e-30,0.334696407592459,0.536,0.178,7.12336726346613e-26,GPSM2,up
HECW2,2.07557415860792e-30,0.334324674678714,0.328,0.064,7.59846943724774e-26,HECW2,up
TPX2,2.64866226905533e-30,0.486166999069098,0.396,0.095,9.69648770078465e-26,TPX2,up
RHOV,2.94385275415493e-30,0.772268517329641,0.757,0.413,1.07771505476858e-25,RHOV,up
KRT6B,4.08233347141281e-30,0.732450146820035,0.357,0.078,1.49450146054951e-25,KRT6B,up
ASRGL1,4.28855157611681e-30,-1.0760742114827,0.323,0.658,1.5699958465006e-25,ASRGL1,down
LRP1,4.76246871958718e-30,0.494893325911755,0.651,0.289,1.74349217355367e-25,LRP1,up
RNASEH2A,5.23535278769408e-30,0.377484523226133,0.494,0.167,1.91661030204693e-25,RNASEH2A,up
DMBT1,6.86589210522016e-30,-2.37628808204127,0.043,0.44,2.51353444080005e-25,DMBT1,down
CD81,7.47874253799875e-30,-0.764693014626584,0.843,0.939,2.73789285573596e-25,CD81,down
EMX2,8.33140670197388e-30,-0.478207609975322,0.051,0.459,3.05004467952562e-25,EMX2,down
CDK1,8.59384335286048e-30,0.427353360236834,0.37,0.085,3.14612011304869e-25,CDK1,up
CKS1B,9.84157857819279e-30,0.581960386555734,0.723,0.387,3.6029035016906e-25,CKS1B,up
