,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
KCNMA1,1.26194331416218e-15,-0.442970546364766,0.03,0.27,4.61984827881631e-11,KCNMA1,down
CKS2,1.27031273189897e-15,0.427578343079977,0.791,0.554,4.65048788020893e-11,CKS2,up
DEPTOR,1.34660415501307e-15,-0.483331343637859,0.2,0.455,4.92978315108735e-11,DEPTOR,down
ARAP2,1.36177589658274e-15,0.310211965356845,0.783,0.528,4.98532537979974e-11,ARAP2,up
NT5C2,1.36358712666627e-15,0.406293211514267,0.809,0.615,4.99195611201254e-11,NT5C2,up
RAB5IF,1.37622115232584e-15,0.360336679574885,0.872,0.67,5.03820801654966e-11,RAB5IF,up
EDN3,1.43694718525363e-15,-0.455549166395151,0.021,0.259,5.26051995049502e-11,EDN3,down
RALGPS2,1.46289517689189e-15,0.358772736793494,0.8,0.549,5.35551295308354e-11,RALGPS2,up
SLC39A8,1.56755535394432e-15,-0.916142371619545,0.255,0.493,5.73866339525474e-11,SLC39A8,down
DAD1,1.5815715127708e-15,-0.514325463416883,0.889,0.877,5.78997515110263e-11,DAD1,down
PARVA,1.63655033099148e-15,-0.458020252782768,0.396,0.602,5.99124710672672e-11,PARVA,down
STK38,1.76793282697178e-15,0.357605593131173,0.694,0.46,6.472225286261e-11,STK38,up
BMERB1,1.78692182702795e-15,-0.421463393223443,0.123,0.379,6.54174211656663e-11,BMERB1,down
NR1D2,1.9213979964033e-15,0.264666994307449,0.677,0.393,7.03404592503284e-11,NR1D2,up
PTPRD,1.94476693151209e-15,-0.688755052794027,0.017,0.252,7.11959725957261e-11,PTPRD,down
TOR1AIP2,1.96975071276412e-15,0.303902280619992,0.779,0.542,7.21106038435818e-11,TOR1AIP2,up
SERPINB1,2.00740209149648e-15,0.900610403065302,0.881,0.736,7.34889831675945e-11,SERPINB1,up
ARPC5,2.01296660156063e-15,0.42191504023751,0.906,0.752,7.3692694316533e-11,ARPC5,up
RFC4,2.06277005846595e-15,0.292306212251551,0.494,0.251,7.55159490703801e-11,RFC4,up
FUS,2.07376944961761e-15,0.408325751981955,0.945,0.911,7.5918625781051e-11,FUS,up
