,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
EIF3L,3.84430176625583e-33,-0.687770193241263,0.751,0.852,1.4073604336086e-28,EIF3L,down
PRDX1,4.26416017031408e-33,0.86952246858874,0.953,0.962,1.56106639675028e-28,PRDX1,up
PARD3B,4.94633732434652e-33,-0.681753048451073,0.282,0.67,1.81080463107002e-28,PARD3B,down
DVL3,5.07720820360126e-33,0.459099394533238,0.789,0.453,1.85871515125639e-28,DVL3,up
MT1X,5.30825763856763e-33,1.50825263371641,0.779,0.481,1.94330003890322e-28,MT1X,up
NR6A1,5.61171270031824e-33,0.443897646842771,0.62,0.261,2.0543919024595e-28,NR6A1,up
NEBL,5.71122324551466e-33,0.82178104836425,0.732,0.432,2.09082171795046e-28,NEBL,up
TMEM51,6.22793123626342e-33,0.508174542405911,0.7,0.34,2.27998334628367e-28,TMEM51,up
GCNT1,6.49834021428291e-33,-0.627571206886097,0.202,0.62,2.37897736904683e-28,GCNT1,down
ARL4D,6.85243095840711e-33,-0.889572200610665,0.535,0.781,2.50860644956326e-28,ARL4D,down
PDLIM2,7.22848690452289e-33,0.36324257039412,0.408,0.12,2.64627677087678e-28,PDLIM2,up
SOX7,7.38845162259522e-33,0.287314786125136,0.399,0.105,2.70483825451588e-28,SOX7,up
CACNA2D3,7.89846521167002e-33,0.366285325269402,0.338,0.082,2.89154912934028e-28,CACNA2D3,up
S100A7,7.90132581469876e-33,0.8456091513379,0.141,0.013,2.89259636750307e-28,S100A7,up
RPL5,8.07429993288256e-33,-0.711521650485901,0.977,0.971,2.95592046242898e-28,RPL5,down
TFCP2L1,8.36603944427617e-33,-0.891044036771278,0.315,0.702,3.06272338015506e-28,TFCP2L1,down
LRCH3,9.29450491350841e-33,0.466941437483274,0.746,0.384,3.40262530378629e-28,LRCH3,up
VSTM2L,9.35965904798028e-33,-0.606454516447649,0.023,0.458,3.4264775808751e-28,VSTM2L,down
LINC00511,1.02424884605393e-32,0.875869934199155,0.859,0.612,3.74967260051882e-28,LINC00511,up
RPS27A,1.06157523766115e-32,-0.593662612339501,0.991,0.983,3.88632078755372e-28,RPS27A,down
PIGX,1.1071765863244e-32,0.518359060846298,0.634,0.298,4.05326276487498e-28,PIGX,up
MAP3K6,1.11077517443753e-32,0.273106832848904,0.559,0.203,4.06643683609834e-28,MAP3K6,up
SNRPD1,1.17298293110557e-32,0.817729947725783,0.85,0.665,4.29417321248438e-28,SNRPD1,up
ZNF667-AS1,1.23357916108421e-32,-0.401100041275072,0.038,0.482,4.51600995081317e-28,ZNF667-AS1,down
PTGER2,1.27021616438656e-32,-0.524075476579032,0.014,0.445,4.65013435620277e-28,PTGER2,down
CIRBP,1.30378304924409e-32,-0.663911356467759,0.911,0.962,4.77301936497768e-28,CIRBP,down
GNG12,1.36790858440085e-32,0.585443260380899,0.845,0.541,5.00777653663306e-28,GNG12,up
PRR15,1.7872168031065e-32,-0.755412157020455,0.183,0.567,6.54282199449258e-28,PRR15,down
TMED10,1.83187199831651e-32,-0.676691405613476,0.869,0.935,6.70630019863691e-28,TMED10,down
HP1BP3,1.86725211891541e-32,0.685408008017226,0.925,0.83,6.83582328213743e-28,HP1BP3,up
NXNL2,2.0488466191041e-32,-0.487581053635345,0.009,0.444,7.50062258787821e-28,NXNL2,down
EML3,2.17733050578143e-32,0.33972569806916,0.587,0.24,7.97098924861522e-28,EML3,up
TMPRSS3,2.20748545820919e-32,-0.545003352815487,0.131,0.546,8.08138351395802e-28,TMPRSS3,down
OPA1,2.32273156563826e-32,0.517589569434045,0.789,0.472,8.5032879886451e-28,OPA1,up
CREB3L1,2.43220697437895e-32,-0.633987753382266,0.103,0.529,8.90406651250391e-28,CREB3L1,down
RRBP1,2.68230910979604e-32,-0.716465368894145,0.812,0.904,9.81966542005234e-28,RRBP1,down
MACROD1,2.72944456190349e-32,0.52528262306581,0.761,0.462,9.99222359667249e-28,MACROD1,up
GM2A,2.77775900775913e-32,0.398697421237804,0.638,0.275,1.01690979515054e-27,GM2A,up
RANGAP1,2.99580469432205e-32,0.463755684866526,0.638,0.292,1.09673414054436e-27,RANGAP1,up
EIF2S2,3.17053073801364e-32,0.795494134630113,0.906,0.761,1.16069959787941e-27,EIF2S2,up
NEDD4,3.4798253144677e-32,0.295819501236875,0.469,0.149,1.27392924937348e-27,NEDD4,up
CRIP1,3.6278931858971e-32,-1.08055914413317,0.681,0.922,1.32813541642507e-27,CRIP1,down
PLCB3,3.69625289978159e-32,0.251195816834703,0.526,0.192,1.35316122408104e-27,PLCB3,up
ASAH1,3.70941655131888e-32,-0.629376740181087,0.723,0.844,1.35798030527233e-27,ASAH1,down
TMEM189,3.76526982520679e-32,0.395949743829745,0.718,0.375,1.37842763030995e-27,TMEM189,up
COX8A,3.87598215747937e-32,0.866941948743339,0.948,0.909,1.41895830803162e-27,COX8A,up
PSD3,4.34066613265794e-32,0.619235774814571,0.761,0.4,1.58907446450474e-27,PSD3,up
ICA1,4.35501002914403e-32,-0.531259237903289,0.225,0.623,1.59432562156934e-27,ICA1,down
SLC12A6,4.56458715742855e-32,0.333635238146518,0.587,0.228,1.67104971246302e-27,SLC12A6,up
TM9SF2,4.7179018051772e-32,-0.718368892024553,0.793,0.922,1.72717667185732e-27,TM9SF2,down
GIPC1,4.80907062346052e-32,0.61578052645063,0.859,0.685,1.76055266454266e-27,GIPC1,up
MLF1,4.82619041949249e-32,0.644562882683397,0.793,0.481,1.76682005067201e-27,MLF1,up
SH3BGRL3,4.98441161500079e-32,0.795750928836842,0.925,0.847,1.82474324813564e-27,SH3BGRL3,up
PRRG4,5.31357254481669e-32,0.686568059321421,0.836,0.573,1.94524577293194e-27,PRRG4,up
PTMS,5.35300680617587e-32,1.03266548245125,0.887,0.797,1.95968226167292e-27,PTMS,up
RPL17,5.86494179747869e-32,-0.662170557562118,0.962,0.978,2.14709654263897e-27,RPL17,down
DNAJB6,6.60194023365776e-32,0.625388742893453,0.897,0.732,2.41690430013977e-27,DNAJB6,up
SDCBP2,6.61972665338964e-32,0.350579703432439,0.521,0.181,2.42341573053941e-27,SDCBP2,up
